2025-08-29 11:17:40,416 [INFO] Starting video processing... Press 'q' to quit. 
2025-08-29 11:17:40,416 [INFO] Saving processed video to output\pose_estimation.avi
2025-08-29 11:17:41,730 [INFO] Marker ID 62 - rvec: [-0.64983032  2.7936604   0.34177419], tvec: [-0.12973843  0.04656276  0.67226278]
2025-08-29 11:17:41,730 [INFO] Marker ID 203 - rvec: [3.03552035 0.66031852 0.23134739], tvec: [-0.11502313 -0.01554221  0.70532885]
2025-08-29 11:17:41,730 [INFO] Marker ID 23 - rvec: [3.17492401 0.74615891 0.57141439], tvec: [-0.07148079  0.03241313  0.70716821]
2025-08-29 11:17:41,730 [INFO] Marker ID 40 - rvec: [ 2.60163373  0.4819466  -0.17274474], tvec: [-0.08304809  0.11807539  0.71269439]
2025-08-29 11:17:41,739 [INFO] Marker ID 98 - rvec: [ 2.74452146  0.53726917 -0.35155351], tvec: [-0.03779159  0.10431155  0.72563048]
2025-08-29 11:17:41,741 [INFO] Marker ID 124 - rvec: [-1.7246452  -2.7148517  -0.45475813], tvec: [-0.01721854  0.03765047  0.73614825]
2025-08-29 11:17:41,791 [INFO] Marker ID 62 - rvec: [ 0.58474058 -2.99212175  0.62311641], tvec: [-0.12975764  0.04685987  0.67147229]
2025-08-29 11:17:41,791 [INFO] Marker ID 203 - rvec: [-3.33544986 -0.68959348 -0.05816221], tvec: [-0.11321998 -0.0149893   0.69234653]
2025-08-29 11:17:41,791 [INFO] Marker ID 23 - rvec: [-3.39095869 -0.69781106  0.05716463], tvec: [-0.07204919  0.03275127  0.70938098]
2025-08-29 11:17:41,791 [INFO] Marker ID 40 - rvec: [-3.48143035 -0.6677417   0.33351724], tvec: [-0.08295259  0.1181804   0.71041547]
2025-08-29 11:17:41,791 [INFO] Marker ID 124 - rvec: [-1.75683394 -2.77849072 -0.4156665 ], tvec: [-0.01705069  0.03712993  0.72921299]
2025-08-29 11:17:41,791 [INFO] Marker ID 98 - rvec: [ 2.74452146  0.53726917 -0.35155351], tvec: [-0.03779159  0.10431155  0.72563048]
2025-08-29 11:17:41,829 [INFO] Marker ID 203 - rvec: [3.03552035 0.66031852 0.23134739], tvec: [-0.11502313 -0.01554221  0.70532885]
2025-08-29 11:17:41,839 [INFO] Marker ID 62 - rvec: [ 0.74887013 -3.34587097 -0.37557711], tvec: [-0.1323697   0.04764618  0.6835607 ]
2025-08-29 11:17:41,841 [INFO] Marker ID 40 - rvec: [-3.41124934 -0.6660068   0.33374845], tvec: [-0.082618    0.11755118  0.7075342 ]
2025-08-29 11:17:41,841 [INFO] Marker ID 23 - rvec: [-3.2895893  -0.69137442  0.17833877], tvec: [-0.07372685  0.03337711  0.72267794]
2025-08-29 11:17:41,841 [INFO] Marker ID 98 - rvec: [ 2.67456877  0.58158766 -0.24184216], tvec: [-0.03820669  0.10461005  0.7277454 ]
2025-08-29 11:17:41,845 [INFO] Marker ID 124 - rvec: [-1.75091188 -2.67659121  0.63613726], tvec: [-0.01735216  0.03724471  0.72651881]
2025-08-29 11:17:41,880 [INFO] Marker ID 62 - rvec: [-0.62182414  2.71804593  0.37321992], tvec: [-0.12991119  0.04612799  0.67012511]
2025-08-29 11:17:41,880 [INFO] Marker ID 203 - rvec: [2.77635614 0.55473082 0.16806877], tvec: [-0.1126685  -0.01580385  0.68811147]
2025-08-29 11:17:41,880 [INFO] Marker ID 23 - rvec: [-3.18744056 -0.68297156  0.20361942], tvec: [-0.07321308  0.03237194  0.71760152]
2025-08-29 11:17:41,880 [INFO] Marker ID 40 - rvec: [-3.48099109 -0.66760316  0.33159445], tvec: [-0.0835734   0.11755673  0.71043197]
